id,published_line_ref,0_hour,1_hour,2_hour,3_hour,4_hour,5_hour,6_hour,7_hour,8_hour,9_hour,10_hour,11_hour,12_hour,13_hour,14_hour,15_hour,16_hour,17_hour,18_hour,19_hour,20_hour,21_hour,22_hour,23_hour,highest_val
23,B39,0,0,0,0,0,0,0,6,6,7,8,6,7,7,7,9,5,9,8,4,7,1,0,0,9
24,B4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,B41,24,25,13,14,13,19,25,36,32,37,37,38,52,49,49,44,50,45,55,36,40,31,34,26,55
26,B42,11,11,2,3,13,23,16,19,24,29,21,20,27,32,18,20,27,43,41,39,37,13,10,5,43
27,B43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,B44,21,29,11,10,16,22,32,32,42,25,31,27,29,31,34,30,36,27,31,31,29,22,22,26,42
29,B44-SBS,1,0,0,0,0,0,29,40,45,48,41,57,53,50,51,55,54,58,56,45,57,47,27,18,58
30,B45,10,7,0,0,0,5,7,13,23,16,20,27,24,43,42,37,45,27,28,19,20,21,8,10,45
31,B46,26,18,13,13,27,28,36,29,37,28,26,36,40,31,36,40,43,39,34,45,41,36,31,41,45
32,B46-SBS,2,0,0,0,0,0,31,39,53,55,52,50,60,68,63,69,73,68,67,57,56,49,43,35,73
33,B47,12,14,14,6,5,14,17,29,27,46,49,44,49,57,60,54,66,75,46,45,31,22,17,13,75
34,B48,10,5,5,4,3,4,6,11,7,9,12,13,14,14,16,16,16,17,14,12,11,9,7,9,17
35,B49,13,8,5,0,2,12,13,24,21,28,24,19,20,28,36,21,27,28,21,25,21,14,11,13,36
36,B52,26,27,8,11,6,10,14,29,28,22,27,24,32,26,51,61,83,43,98,67,67,67,36,42,98
37,B54,14,7,6,6,6,10,16,26,27,27,22,23,23,37,56,32,39,40,38,30,25,29,20,18,56
38,B57,6,5,0,0,7,10,27,18,24,28,18,24,29,35,34,33,39,43,46,35,37,37,40,39,46
39,B6,22,31,15,19,27,36,56,56,50,69,68,44,48,38,42,45,47,63,61,48,53,44,38,36,69
40,B60,10,13,28,18,14,10,14,25,28,20,24,26,37,32,34,35,24,32,22,33,25,15,14,12,37
41,B61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,B62,16,14,12,10,8,11,15,18,19,16,15,21,20,18,24,32,22,33,34,23,24,55,22,22,55
43,B63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,B64,8,4,0,0,3,9,12,16,18,27,23,21,18,27,27,24,23,29,33,17,17,14,10,5,33
45,B65,8,4,0,0,5,5,9,12,13,9,19,16,15,16,30,25,17,34,34,23,34,32,27,5,34
46,B67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,B68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,B69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,B7,5,5,1,0,7,7,13,16,22,20,19,20,32,30,34,27,33,23,26,14,16,14,11,10,34
50,B70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,B74,0,0,0,0,0,0,0,27,24,17,18,16,16,21,17,24,32,20,25,17,21,15,12,7,32
52,B8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,B82,21,22,12,10,18,24,37,48,49,35,33,43,36,37,38,41,49,47,55,57,40,34,27,32,57
54,B82-SBS,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
55,B83,16,4,0,0,3,10,18,25,25,28,37,43,36,52,48,39,40,49,30,32,33,24,26,29,52
56,B84,0,0,0,0,0,0,0,0,0,0,7,5,5,7,7,14,8,9,11,0,0,0,0,0,14
57,B9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,B99,0,33,32,30,28,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
59,BM1,2,0,0,0,0,0,12,6,1,3,2,0,0,0,0,0,12,9,0,0,0,0,0,0,12
60,BM2,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,10
61,BM3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,BM4,0,0,0,0,0,0,2,7,1,0,0,5,1,0,1,1,0,0,0,0,0,0,0,0,7
63,BM5,0,0,0,0,0,0,0,0,4,4,0,0,6,5,2,1,0,0,6,1,0,0,0,0,6
64,Bx1,19,13,27,9,14,12,0,34,32,27,28,44,38,34,85,27,35,49,50,59,24,0,0,4,85
65,Bx10,11,5,2,3,7,13,31,45,35,33,33,36,37,45,35,40,33,46,62,30,26,28,22,21,62
66,Bx11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,11
67,Bx12,0,0,0,0,0,1,49,46,26,14,1,14,17,24,69,17,21,5,0,0,0,0,0,0,69
68,Bx12-SBS,3,0,0,0,0,1,42,77,61,60,54,65,70,90,91,75,92,105,109,104,71,77,84,83,109
69,Bx13,22,13,0,0,0,19,24,25,40,49,43,53,51,56,50,61,51,66,54,54,52,35,32,26,66
70,Bx15,16,16,20,27,26,19,35,21,15,30,31,44,41,47,88,49,49,68,62,35,35,11,0,0,88
71,Bx16,14,3,0,0,0,0,15,25,27,27,21,24,30,29,22,32,47,46,39,51,46,37,20,14,51
72,Bx17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,Bx18,0,0,0,0,0,0,0,9,22,15,19,24,20,21,24,28,20,22,15,21,10,8,2,0,28
74,Bx19,28,26,27,27,19,23,53,81,84,42,52,50,62,60,77,88,67,87,66,66,63,61,76,28,88
75,Bx2,0,0,0,0,0,0,0,0,0,22,31,65,63,86,46,28,38,56,63,46,18,10,10,14,86
76,Bx20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,Bx21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,Bx22,0,0,0,0,0,0,0,10,12,26,23,30,36,45,58,45,44,59,61,82,87,89,2,0,89
79,Bx23,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14,16,15,0,0,0,0,0,0,0,16
80,Bx24,4,0,0,0,0,3,3,4,8,7,5,8,6,7,9,7,8,7,6,6,6,6,7,4,9
81,Bx26,6,0,0,0,0,4,26,36,29,24,27,23,28,37,42,41,36,37,36,27,26,23,28,11,42
82,Bx27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,Bx28,23,16,8,9,12,16,44,31,30,29,36,37,35,35,39,47,53,76,95,90,32,26,25,23,95
84,Bx29,16,8,2,0,1,5,12,14,11,18,27,23,25,32,30,27,36,38,27,15,17,19,36,24,38
85,Bx3,30,15,0,0,0,0,25,35,35,38,40,45,46,49,43,56,59,68,63,41,50,30,44,31,68
86,Bx30,15,0,0,0,0,0,14,25,30,21,27,29,31,39,39,36,36,33,37,30,21,25,16,20,39
87,Bx31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Bx32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,Bx33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,Bx34,7,6,0,0,0,0,19,14,16,16,17,19,19,26,23,28,24,21,20,16,10,9,15,15,28
91,Bx35,23,19,11,10,8,9,28,38,38,40,56,49,46,50,73,80,79,93,69,63,40,25,31,34,93
92,Bx36,35,28,17,12,18,20,34,43,61,77,110,66,50,66,59,67,67,80,60,59,52,55,48,57,110
93,Bx38,12,0,0,0,0,0,35,28,26,21,26,24,28,30,36,29,32,31,30,27,24,22,22,35,36
