id,published_line_ref,0_hour,1_hour,2_hour,3_hour,4_hour,5_hour,6_hour,7_hour,8_hour,9_hour,10_hour,11_hour,12_hour,13_hour,14_hour,15_hour,16_hour,17_hour,18_hour,19_hour,20_hour,21_hour,22_hour,23_hour,total_count
90,M9,0,0,0,0,0,0,0,4,48,111,127,118,124,114,144,128,157,169,80,54,36,0,27,0,1441
91,M21,0,0,0,0,0,0,0,21,21,43,18,27,46,46,32,38,28,11,22,43,19,11,0,0,426
92,M42,44,49,65,45,34,30,22,54,22,9,28,25,32,41,48,67,88,103,72,67,69,65,64,71,1214
93,M31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,M12,0,0,0,0,0,0,2,38,0,24,34,26,32,33,25,31,38,27,25,19,20,12,4,0,390
95,M116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,M104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,B12,188,156,138,102,84,114,211,366,333,329,322,337,331,340,419,497,403,369,322,285,330,240,134,130,6480
98,B26,207,200,129,98,88,137,140,225,264,281,409,401,350,434,506,630,580,648,482,422,329,280,237,200,7677
99,Q24,188,292,341,301,288,252,311,369,336,275,277,276,282,275,311,349,275,268,261,263,293,228,177,144,6632
100,B14,108,104,37,35,44,64,152,198,159,118,148,182,257,272,308,341,293,296,255,185,178,127,116,75,4052
101,B45,132,49,0,0,0,14,56,67,55,54,84,115,116,161,225,257,300,226,202,151,150,130,83,95,2722
102,M10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,B13,176,104,6,0,47,185,278,328,286,227,239,290,282,294,396,459,405,428,310,278,269,242,219,213,5961
104,Q55,94,78,62,47,65,126,143,185,160,169,214,180,161,174,214,288,281,230,238,211,203,114,89,87,3813
105,Q58,366,219,149,142,196,465,732,1028,1038,1013,1125,1102,1090,1173,1298,1441,1341,1471,1159,981,831,617,428,321,19726
106,Q36,100,74,30,37,71,72,137,141,150,207,220,223,254,245,229,221,190,201,167,172,166,119,63,33,3522
107,Q46,210,92,68,36,47,183,300,405,339,335,378,449,467,476,465,547,605,567,536,486,426,327,208,185,8137
108,B7,88,66,1,0,23,49,116,134,146,140,171,201,163,155,195,251,273,226,201,166,163,122,70,74,3194
109,M106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,Bx26,2,0,0,0,0,3,72,293,348,371,345,375,355,353,402,406,400,406,368,334,319,243,153,70,5618
111,B52,114,67,97,97,120,137,157,252,288,300,395,447,419,407,440,552,530,502,472,446,298,182,117,123,6959
112,Bx16,149,41,0,0,0,0,65,200,256,246,248,239,307,348,381,426,417,459,404,389,315,266,189,147,5492
113,Bx30,108,0,0,0,0,0,55,310,362,309,313,380,407,409,463,541,595,579,482,395,414,347,266,226,6961
114,M22,0,0,0,0,0,0,0,12,24,41,33,39,65,57,38,45,39,46,32,15,1,15,2,0,504
115,B82,205,213,119,102,174,348,572,781,629,517,521,500,451,542,614,718,805,810,786,702,537,433,317,258,11654
116,M50,13,1,0,0,0,0,0,28,21,13,10,16,33,33,35,27,37,37,25,33,51,46,33,24,516
117,Q2,108,84,32,44,70,129,160,156,79,75,82,103,109,114,187,242,260,271,227,221,182,170,114,97,3316
118,Q32,125,119,181,184,173,104,102,197,273,228,310,323,376,372,482,508,509,464,377,376,298,249,169,121,6620
119,Q20A,187,114,65,60,130,176,190,287,317,364,391,374,376,436,496,495,569,525,419,420,251,205,192,180,7219
120,B17,121,46,25,28,20,159,344,425,382,363,350,326,316,245,253,309,339,404,417,453,402,415,256,146,6544
121,Q26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,Q48,31,33,1,0,6,21,58,83,67,48,51,75,81,89,123,115,111,116,94,105,88,56,34,16,1502
123,Q13,58,48,30,5,0,37,124,177,175,124,111,117,135,146,181,192,195,195,139,116,119,93,59,57,2633
124,Q16,26,20,0,0,3,35,28,69,64,69,73,88,73,57,44,72,96,125,86,75,66,80,54,58,1361
125,Q20B,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
126,Q15A,13,0,0,0,0,9,23,53,66,72,66,68,79,80,21,23,20,52,79,85,52,66,38,25,990
127,Q28,63,51,21,32,51,131,184,274,274,257,236,218,239,262,271,272,249,166,171,160,144,130,101,73,4030
128,Q76,0,0,0,0,0,14,149,263,216,169,138,123,113,165,162,103,137,119,82,104,116,105,57,4,2339
129,Q31,0,0,0,0,0,0,0,0,26,63,114,117,116,75,91,99,61,78,63,44,12,0,0,0,959
130,Q15,3,2,0,0,0,13,22,38,62,53,47,65,69,60,66,74,66,49,65,54,60,38,20,22,948
131,B15,582,348,224,377,640,715,758,801,847,742,855,936,1093,1247,1351,1373,1289,1303,1203,1147,1107,881,727,619,21165
132,B65,87,20,0,0,6,89,135,194,180,118,140,157,177,139,187,222,213,256,283,248,263,257,125,48,3544
133,SIM2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,B41,382,278,224,194,229,261,365,709,890,979,1163,1284,1515,1569,1830,1832,1708,1655,1449,1380,1126,707,383,308,22420
135,Bx34,101,15,0,0,0,0,155,157,135,127,120,179,199,220,249,288,287,277,257,234,131,121,101,89,3442
136,Bx20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,Bx13,130,15,0,0,0,76,135,191,182,199,271,290,352,361,410,553,559,597,544,446,401,263,166,105,6246
138,M100,199,119,0,0,0,41,217,401,341,345,379,459,495,557,703,769,733,669,613,613,557,452,341,261,9264
139,Bx3,184,70,0,0,0,0,98,234,283,324,330,395,503,558,677,717,702,729,646,630,525,327,237,194,8363
140,Bx10,123,29,16,20,53,129,200,263,279,307,307,296,348,370,415,521,500,478,412,337,317,257,202,165,6344
