id,published_line_ref,0_hour,1_hour,2_hour,3_hour,4_hour,5_hour,6_hour,7_hour,8_hour,9_hour,10_hour,11_hour,12_hour,13_hour,14_hour,15_hour,16_hour,17_hour,18_hour,19_hour,20_hour,21_hour,22_hour,23_hour,total
197,B84,0,0,0,0,0,0,0,0,0,0,37,56,38,32,175,316,267,258,103,0,0,0,0,0,1282
198,B64,252,90,0,0,4,409,762,1586,1579,1960,2236,2357,2405,2907,3274,3503,2917,3014,1885,1428,1083,543,148,82,34424
199,B60,707,560,998,823,379,550,905,2339,2714,2373,3034,3198,3916,3757,5533,5000,4975,4956,3588,3072,2526,1565,924,741,59133
200,B57,224,108,0,0,116,634,1866,2114,2352,2215,2403,2893,3265,3537,3798,4028,4672,4332,3624,2869,1482,1264,1181,919,49896
201,B31,144,43,0,0,0,158,229,663,590,448,451,424,469,498,683,847,713,513,251,243,437,285,190,187,8466
202,Q5,1580,527,192,64,363,1333,1662,4112,4173,4579,4963,5677,7587,9755,9572,11263,11195,10645,7809,6694,5639,5152,3424,2410,120370
203,Q42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,Q4,1203,896,394,240,438,858,1637,2715,2481,2448,2867,2757,2620,3065,4194,4483,5274,5683,4869,3096,3525,2594,2166,1553,62056
205,Q30,261,9,0,0,0,423,1673,1972,2555,1918,1568,1342,1402,1566,2500,3004,2226,2561,1669,1465,1073,1012,832,670,31701
206,Q3,1182,888,545,591,1292,1790,2665,3700,2724,2776,2554,3140,3943,4275,4927,5060,4255,4258,3967,3517,4604,5190,3368,1864,73075
207,Q17,804,473,79,169,395,954,3226,5334,6055,6006,5896,6326,6475,6089,6839,7396,8371,8756,6533,5043,3842,2525,1723,1370,100679
208,Q85,1464,948,503,373,509,2209,3355,4276,3526,3542,3937,4439,5234,6353,6760,7208,8324,8505,7317,5580,4432,2730,1504,1413,94441
209,M66,356,13,0,0,0,134,476,935,622,447,673,909,1265,1558,2086,2421,2120,1858,1519,1400,1003,564,454,439,21252
210,M72,88,0,0,0,0,0,77,313,343,408,671,906,1163,1470,1771,2147,2155,2181,1396,1257,772,421,315,123,17977
211,M57,55,5,0,0,0,0,60,115,182,127,195,217,306,511,413,395,365,495,535,349,237,269,170,167,5168
212,B2,29,0,0,0,0,120,109,318,419,394,583,857,814,976,1111,1265,1382,962,643,656,530,172,14,51,11405
213,B82-SBS,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
214,Q77,0,0,0,0,0,0,324,1598,2137,1585,1559,1552,1440,1602,1565,1872,2237,2412,1580,1255,1176,779,289,0,24962
215,B48,271,83,95,81,93,213,426,502,272,427,490,704,1265,1406,1486,1229,1243,1124,1005,902,629,473,375,355,15149
216,B37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,Q43,583,306,411,565,851,1448,4079,6619,4880,3501,2967,3769,3657,3117,2455,3797,3957,3595,3267,2598,2068,1996,1137,1086,62709
218,Q83,885,276,203,164,330,1227,2521,2953,2647,2076,1853,1501,2007,1738,2098,2831,3509,3105,2529,2319,1533,1378,1201,675,41559
219,S91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,S94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221,S44,246,2,0,0,28,290,1079,1504,1654,1649,2193,3006,2879,3780,3884,5529,5125,5668,4045,3031,2834,1670,1155,780,52031
222,S78,1229,916,917,479,774,1571,2200,3822,2811,2533,2598,2727,2814,2875,3430,3440,4163,3951,2938,1766,1612,1209,1411,1335,53521
223,S74,594,810,478,288,379,1201,2280,3475,2975,2416,2262,2872,2611,2912,3127,5178,4054,3154,3287,2727,2019,1622,1819,1001,53541
