id,published_line_ref,0_hour,1_hour,2_hour,3_hour,4_hour,5_hour,6_hour,7_hour,8_hour,9_hour,10_hour,11_hour,12_hour,13_hour,14_hour,15_hour,16_hour,17_hour,18_hour,19_hour,20_hour,21_hour,22_hour,23_hour,highest_val
227,Q64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228,Q65,23,7,5,10,16,64,44,44,38,44,38,104,107,107,54,55,59,52,46,42,42,34,36,25,107
229,Q66,18,13,9,11,18,35,41,43,38,31,52,35,37,46,54,41,41,45,41,48,39,34,24,24,54
230,Q67,0,0,0,4,14,21,43,35,19,24,18,11,15,20,22,32,42,46,49,15,12,18,17,11,49
231,Q69,9,4,0,0,0,16,28,43,35,19,20,26,24,20,31,30,36,40,28,23,18,18,18,13,43
232,Q7,0,0,0,0,0,0,17,18,14,16,0,0,15,24,24,24,6,0,0,0,5,13,9,0,24
233,Q70-SBS,9,6,7,13,11,19,34,16,18,17,28,26,26,25,35,35,29,29,18,29,27,21,18,13,35
234,Q72,10,3,0,0,17,27,40,47,27,27,28,53,36,38,43,58,64,55,56,34,28,31,19,15,64
235,Q76,0,0,0,0,0,15,25,36,19,31,19,18,19,19,28,25,33,28,18,20,17,10,10,6,36
236,Q77,0,0,0,0,0,12,21,20,31,19,22,24,25,25,29,26,63,40,33,27,22,14,5,0,63
237,Q8,0,0,0,0,0,15,25,20,25,9,16,12,19,12,10,0,0,0,0,0,0,0,0,0,25
238,Q83,24,21,8,8,26,38,52,42,33,32,30,35,36,34,45,38,47,44,38,33,35,26,23,26,52
239,Q84,13,11,0,0,25,30,33,29,26,23,30,29,22,36,43,64,28,43,27,26,21,19,14,9,64
240,Q85,24,17,9,8,35,36,40,33,36,37,27,38,34,37,44,53,38,52,33,42,34,29,39,30,53
241,Q88,3,0,0,0,0,5,22,43,36,28,23,27,29,40,42,37,38,33,32,26,36,20,14,10,43
242,Q9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,38,20,14,6,29,7,0,38
243,QM1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244,QM10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
