id,published_line_ref,0_hour,1_hour,2_hour,3_hour,4_hour,5_hour,6_hour,7_hour,8_hour,9_hour,10_hour,11_hour,12_hour,13_hour,14_hour,15_hour,16_hour,17_hour,18_hour,19_hour,20_hour,21_hour,22_hour,23_hour,total_avg
281,QM21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
282,QM31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
283,QM3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
284,Q22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
285,Q41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
286,Q6,13.7931,0.0,0.0,0.0,0.0,2.0,16.4,7.61538,11.3333,0.0,0.0,0.0,8.76923,13.1053,12.4211,14.0682,15.6346,14.4468,16.6098,14.6667,14.3333,12.125,9.9375,14.0417,13.7849
287,Q37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,22.7143,10.8,10.8889,11.5556,14.5217,11.2917,17.0417,14.6129,18.1724,0.0,0.0,0.0,0.0,15.067
288,Q7,0.0,0.0,0.0,0.0,0.0,0.0,9.14286,11.1951,8.46154,12.0,0.0,0.0,8.8,10.931,11.1163,13.12,5.0,0.0,0.0,0.0,3.2,6.45161,11.9583,18.1429,10.3071
289,Q10,6.37255,4.1128,4.1337,4.40909,10.2922,13.9023,14.1647,12.1001,12.3612,10.7541,11.3255,10.1098,12.819,13.4761,14.0386,12.1667,12.1446,12.7077,11.4567,9.61653,8.595,9.60256,10.0873,8.10811,11.2578
290,Q111,14.25,7.77778,2.93333,2.26667,7.16667,6.73913,14.2308,12.0078,18.6173,12.7069,12.8947,7.39286,7.98592,9.92754,11.8864,16.4956,16.7087,13.7288,12.12,18.0278,9.80952,6.0,13.4483,9.05714,12.6961
291,Q113,0.0,0.0,0.0,0.0,0.0,0.0,7.25,6.0,0.0,8.28571,3.0,0.0,22.125,21.0,12.9231,18.8627,16.4909,15.9302,13.3284,18.1163,13.0,9.0,0.0,0.0,15.4035
