id,published_line_ref,0_hour,1_hour,2_hour,3_hour,4_hour,5_hour,6_hour,7_hour,8_hour,9_hour,10_hour,11_hour,12_hour,13_hour,14_hour,15_hour,16_hour,17_hour,18_hour,19_hour,20_hour,21_hour,22_hour,23_hour,total_count
197,B84,0,0,0,0,0,27,44,46,38,45,26,29,33,29,123,224,237,225,136,74,62,33,0,0,1431
198,B64,206,89,2,0,21,431,602,1004,848,860,799,799,882,1057,1328,1432,1280,1041,1097,1029,752,495,309,292,16655
199,B60,440,367,277,266,233,480,830,1217,1452,1259,1132,1283,1423,1479,1619,2206,2351,1975,1956,1341,996,814,694,522,26612
200,B57,244,94,0,0,170,629,848,1059,1034,1110,1030,1032,1137,1105,1281,1534,1579,1272,1275,898,565,568,538,391,19393
201,B31,116,22,0,0,36,117,302,399,346,356,273,300,273,276,305,435,553,501,531,451,401,321,248,174,6736
202,Q5,545,261,147,116,287,645,938,1293,1176,1368,1369,1418,1569,1881,2509,2849,2721,2393,2617,2082,1898,1443,1202,866,33593
203,Q42,0,0,0,0,0,83,189,222,236,178,130,114,119,158,155,212,271,271,264,251,39,0,0,0,2892
204,Q4,451,409,243,132,306,559,906,1244,1222,971,849,863,924,1080,1308,1972,1852,1738,1913,1543,1333,968,879,678,24343
205,Q30,254,9,0,0,0,386,1098,1547,1591,1614,1277,1343,1460,1596,1995,2405,1763,1498,1540,1236,951,890,723,477,25653
206,Q3,548,439,360,383,664,830,1056,1368,982,935,812,919,1005,1198,1468,1988,1837,1526,1715,1501,1354,1175,1044,789,25896
207,Q17,442,234,88,122,281,572,1285,2022,2189,2292,2150,2057,2220,2216,2418,2782,3093,2928,3246,2897,2330,1644,1306,817,41631
208,Q85,629,501,271,297,346,834,1380,1938,1694,1449,1379,1535,1798,2043,2233,2729,2574,2283,2509,1981,1665,1179,961,795,35003
209,M66,223,20,0,0,2,272,497,930,1064,858,770,853,955,1049,1341,1857,2011,1695,1415,1074,837,644,571,473,19411
210,M72,61,0,0,0,0,46,284,447,620,757,784,830,941,1065,1203,1368,1325,1139,1062,858,697,522,363,255,14627
211,M57,98,18,0,0,0,0,10,62,147,148,138,106,156,156,187,232,272,261,321,305,231,220,170,143,3381
212,B2,38,1,0,0,1,147,185,283,362,301,271,269,271,285,432,501,531,427,448,406,303,206,114,91,5873
213,B82-SBS,2,0,0,0,26,388,1248,1728,1653,1673,1338,1346,1373,1597,1980,2520,2473,2135,2270,1851,1469,995,703,172,28940
214,Q77,0,0,0,0,0,46,627,1261,1054,865,708,760,856,851,1531,2359,1666,1288,1335,1140,704,419,78,0,17548
215,B48,254,96,85,83,141,436,636,657,693,773,712,765,898,922,990,1055,1059,912,866,571,352,361,309,273,13899
216,B37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,Q43,193,179,282,315,413,697,1645,2319,1855,1386,1509,1557,1447,1532,1693,1943,1786,1449,1460,1208,980,642,524,333,27347
