,Time,Borough,Passenger Count
354,4:10,Manhattan,68
355,4:10,Staten Island,35
356,4:10,Other,23
357,4:14,Total,778
358,4:14,Brooklyn,240
359,4:14,Bronx,162
360,4:14,Queens,248
361,4:14,Manhattan,59
362,4:14,Staten Island,42
363,4:14,Other,27
364,4:20,Total,741
365,4:20,Brooklyn,242
366,4:20,Bronx,137
367,4:20,Queens,241
368,4:20,Manhattan,54
369,4:20,Staten Island,35
370,4:20,Other,32
371,4:25,Total,792
372,4:25,Brooklyn,252
373,4:25,Bronx,137
374,4:25,Queens,265
375,4:25,Manhattan,59
376,4:25,Staten Island,42
377,4:25,Other,37
378,4:29,Total,871
379,4:29,Brooklyn,296
380,4:29,Bronx,151
381,4:29,Queens,264
382,4:29,Manhattan,69
383,4:29,Staten Island,34
384,4:29,Other,57
385,4:34,Total,959
386,4:34,Brooklyn,376
387,4:34,Bronx,143
388,4:34,Queens,271
389,4:34,Manhattan,40
390,4:34,Staten Island,68
391,4:34,Other,61
392,4:40,Total,1143
393,4:40,Brooklyn,433
394,4:40,Bronx,138
395,4:40,Queens,366
396,4:40,Manhattan,53
397,4:40,Staten Island,81
398,4:40,Other,72
399,4:45,Total,1154
400,4:45,Brooklyn,430
401,4:45,Bronx,155
402,4:45,Queens,392
403,4:45,Manhattan,25
404,4:45,Staten Island,83
405,4:45,Other,69
406,4:50,Total,1370
407,4:50,Brooklyn,535
408,4:50,Bronx,190
409,4:50,Queens,430
410,4:50,Manhattan,28
411,4:50,Staten Island,87
412,4:50,Other,100
413,4:54,Total,1383
414,4:54,Brooklyn,521
415,4:54,Bronx,168
416,4:54,Queens,463
417,4:54,Manhattan,26
418,4:54,Staten Island,83
419,4:54,Other,122
420,5:0,Total,1442
421,5:0,Brooklyn,541
422,5:0,Bronx,166
423,5:0,Queens,446
424,5:0,Manhattan,31
425,5:0,Staten Island,109
426,5:0,Other,149
427,5:5,Total,1579
428,5:5,Brooklyn,589
429,5:5,Bronx,214
430,5:5,Queens,416
431,5:5,Manhattan,32
432,5:5,Staten Island,144
433,5:5,Other,184
434,5:10,Total,1820
435,5:10,Brooklyn,733
436,5:10,Bronx,225
437,5:10,Queens,503
438,5:10,Manhattan,33
439,5:10,Staten Island,132
440,5:10,Other,194
441,5:14,Total,1895
442,5:14,Brooklyn,767
443,5:14,Bronx,212
444,5:14,Queens,496
445,5:14,Manhattan,37
446,5:14,Staten Island,168
447,5:14,Other,215
448,5:19,Total,2074
449,5:19,Brooklyn,810
450,5:19,Bronx,206
451,5:19,Queens,544
452,5:19,Manhattan,32
453,5:19,Staten Island,202
454,5:19,Other,280
455,5:25,Total,2288
456,5:25,Brooklyn,889
457,5:25,Bronx,239
458,5:25,Queens,624
459,5:25,Manhattan,41
460,5:25,Staten Island,184
461,5:25,Other,311
462,5:30,Total,2518
463,5:30,Brooklyn,946
464,5:30,Bronx,212
465,5:30,Queens,692
466,5:30,Manhattan,40
467,5:30,Staten Island,211
468,5:30,Other,417
469,5:35,Total,2788
470,5:35,Brooklyn,1051
471,5:35,Bronx,245
472,5:35,Queens,734
473,5:35,Manhattan,52
474,5:35,Staten Island,220
475,5:35,Other,486
476,5:40,Total,3027
477,5:40,Brooklyn,1084
478,5:40,Bronx,352
479,5:40,Queens,874
480,5:40,Manhattan,59
481,5:40,Staten Island,189
482,5:40,Other,469
483,5:45,Total,3318
484,5:45,Brooklyn,1131
485,5:45,Bronx,429
486,5:45,Queens,904
487,5:45,Manhattan,53
488,5:45,Staten Island,273
489,5:45,Other,528
490,5:50,Total,3518
491,5:50,Brooklyn,1282
492,5:50,Bronx,430
493,5:50,Queens,989
494,5:50,Manhattan,55
495,5:50,Staten Island,225
496,5:50,Other,537
497,5:54,Total,3578
498,5:54,Brooklyn,1301
499,5:54,Bronx,434
500,5:54,Queens,1036
501,5:54,Manhattan,70
502,5:54,Staten Island,207
503,5:54,Other,530
504,5:59,Total,3942
505,5:59,Brooklyn,1427
506,5:59,Bronx,448
507,5:59,Queens,1192
508,5:59,Manhattan,73
509,5:59,Staten Island,237
510,5:59,Other,565
511,6:4,Total,4232
512,6:4,Brooklyn,1539
513,6:4,Bronx,495
514,6:4,Queens,1236
515,6:4,Manhattan,96
516,6:4,Staten Island,264
517,6:4,Other,602
518,6:9,Total,4534
519,6:9,Brooklyn,1552
520,6:9,Bronx,594
521,6:9,Queens,1389
522,6:9,Manhattan,72
523,6:9,Staten Island,293
524,6:9,Other,634
525,6:15,Total,4980
526,6:15,Brooklyn,1707
527,6:15,Bronx,648
528,6:15,Queens,1521
529,6:15,Manhattan,87
530,6:15,Staten Island,342
531,6:15,Other,675
532,6:19,Total,5230
533,6:19,Brooklyn,1810
534,6:19,Bronx,664
535,6:19,Queens,1566
536,6:19,Manhattan,107
537,6:19,Staten Island,364
538,6:19,Other,719
539,6:24,Total,5430
540,6:24,Brooklyn,2050
541,6:24,Bronx,771
542,6:24,Queens,1557
543,6:24,Manhattan,128
544,6:24,Staten Island,342
545,6:24,Other,582
546,6:29,Total,5471
547,6:29,Brooklyn,2059
548,6:29,Bronx,764
549,6:29,Queens,1560
550,6:29,Manhattan,152
551,6:29,Staten Island,349
552,6:29,Other,587
553,6:35,Total,5745
554,6:35,Brooklyn,2195
555,6:35,Bronx,804
556,6:35,Queens,1529
557,6:35,Manhattan,126
558,6:35,Staten Island,473
559,6:35,Other,618
560,6:39,Total,5989
561,6:39,Brooklyn,2164
562,6:39,Bronx,881
563,6:39,Queens,1664
564,6:39,Manhattan,170
565,6:39,Staten Island,509
566,6:39,Other,601
567,6:44,Total,6309
568,6:44,Brooklyn,2380
569,6:44,Bronx,969
570,6:44,Queens,1744
571,6:44,Manhattan,158
572,6:44,Staten Island,466
573,6:44,Other,592
574,6:50,Total,6489
575,6:50,Brooklyn,2562
576,6:50,Bronx,924
577,6:50,Queens,1782
578,6:50,Manhattan,167
579,6:50,Staten Island,535
580,6:50,Other,519
581,6:55,Total,6648
582,6:55,Brooklyn,2667
583,6:55,Bronx,880
584,6:55,Queens,1773
585,6:55,Manhattan,178
586,6:55,Staten Island,577
587,6:55,Other,573
588,7:0,Total,6634
589,7:0,Brooklyn,2752
590,7:0,Bronx,822
591,7:0,Queens,1825
592,7:0,Manhattan,153
593,7:0,Staten Island,481
594,7:0,Other,601
595,7:4,Total,7126
596,7:4,Brooklyn,2907
597,7:4,Bronx,890
598,7:4,Queens,1953
599,7:4,Manhattan,170
600,7:4,Staten Island,607
601,7:4,Other,599
602,7:10,Total,7614
603,7:10,Brooklyn,3213
604,7:10,Bronx,1023
605,7:10,Queens,2069
606,7:10,Manhattan,173
607,7:10,Staten Island,590
608,7:10,Other,546
609,7:15,Total,7812
610,7:15,Brooklyn,3182
611,7:15,Bronx,1199
612,7:15,Queens,2072
613,7:15,Manhattan,196
614,7:15,Staten Island,558
615,7:15,Other,605
616,7:19,Total,8303
617,7:19,Brooklyn,3448
618,7:19,Bronx,1353
619,7:19,Queens,2135
620,7:19,Manhattan,198
621,7:19,Staten Island,553
622,7:19,Other,616
623,7:24,Total,8759
624,7:24,Brooklyn,3666
625,7:24,Bronx,1488
626,7:24,Queens,2183
627,7:24,Manhattan,210
628,7:24,Staten Island,598
629,7:24,Other,614
630,7:30,Total,8774
631,7:30,Brooklyn,3704
632,7:30,Bronx,1529
633,7:30,Queens,2091
634,7:30,Manhattan,227
635,7:30,Staten Island,619
636,7:30,Other,604
637,7:35,Total,9491
638,7:35,Brooklyn,3921
639,7:35,Bronx,1674
640,7:35,Queens,2405
641,7:35,Manhattan,261
642,7:35,Staten Island,633
643,7:35,Other,597
644,7:40,Total,9607
645,7:40,Brooklyn,4020
646,7:40,Bronx,1600
647,7:40,Queens,2431
648,7:40,Manhattan,275
649,7:40,Staten Island,626
650,7:40,Other,655
651,7:44,Total,9552
652,7:44,Brooklyn,3964
653,7:44,Bronx,1561
654,7:44,Queens,2473
655,7:44,Manhattan,279
656,7:44,Staten Island,625
657,7:44,Other,650
658,7:50,Total,9408
659,7:50,Brooklyn,4043
660,7:50,Bronx,1413
661,7:50,Queens,2495
662,7:50,Manhattan,243
663,7:50,Staten Island,633
664,7:50,Other,581
665,7:55,Total,9109
666,7:55,Brooklyn,3938
667,7:55,Bronx,1347
668,7:55,Queens,2359
669,7:55,Manhattan,256
670,7:55,Staten Island,629
671,7:55,Other,580
672,8:0,Total,8523
673,8:0,Brooklyn,3626
