,Published Line Ref,Averages
212,BxM4,4.148302607597486
213,QM4,5.476751502125733
214,QM6,6.713256793564314
215,B103,3.099834133395572
216,Q69,2.7163212420698426
217,Q49,1.9922141830302682
218,Q29,2.712409140103985
219,Q100,3.8200141982175957
220,Q33,2.0399726158298583
221,Q101,3.171940762337274
222,Q39,2.5671642968015718
223,Q47,2.4284733304126807
224,Q22,4.049746725262948
225,Q11,3.8489459747449057
226,Q104,2.188242977831553
227,Q103,2.7227552690271146
228,Q72,2.183572110490766
229,Q35,5.630648672877943
230,Q41,2.749016637907155
231,Q110,3.15081242808887
232,Q64,2.819592369120589
233,Q21,3.6726426651808572
234,Q70-SBS,3.769423318008608
235,Q102,2.547891919209069
236,Q18,2.305818943795545
237,Q25,3.0445796337590276
238,Q19,3.9060263840044063
239,Q23,2.13012415846865
240,Q65,3.1865600532292047
241,Q66,3.1216557239882876
242,Q38,2.735887751445506
243,Q34,2.8013126386558582
244,QM15,5.290884633620077
245,BxM10,4.6071261731597675
246,Q67,3.103651779319065
247,QM20,5.554594793166331
248,BxM1,4.708245151860797
249,BxM3,4.872099413279065
250,B100,2.898985744506612
251,BM4,4.522949615057252
252,BxM8,5.125686061401177
253,BxM7,5.472701334109178
254,Q10,3.4965922961449194
255,Q52-SBS,5.503858975501788
256,BxM6,4.39185194458248
257,BxM9,5.181558439964078
258,BM1,4.687342122988959
259,BM2,4.802530331564144
260,BM5,5.799462357119453
261,Q112,2.3370124132522268
262,Q114,3.813665648178151
263,Q111,3.1368042070111564
264,Q113,3.9526253916283585
265,Bx23,2.578952147814438
266,Q50,5.024462266915346
267,BM3,4.827203614546144
268,SIM8,8.595434763691635
269,SIM2,11.034602271212538
270,SIM26,10.687600076070881
271,SIM10,6.676455841178456
272,QM7,5.61460816356835
273,SIM7,7.3264274052355685
274,S42,2.1062103172174216
275,SIM3,6.005702353328439
276,SIM33,7.200954875871727
277,SIM1,7.771030826725011
278,X38,5.764356520115454
279,SIM11,7.073233662411253
280,SIM9,6.822750028852412
281,QM34,4.218069464116047
282,X63,5.32872852908018
283,Q26,3.2295085738995146
284,SIM5,8.152003548171963
285,SIM22,10.158471661599284
286,SIM34,8.147792217794178
287,SIM15,6.9463339546029435
288,QM35,5.558256786881419
289,QM10,3.930808967121756
290,QM24,4.228496869342079
291,SIM25,10.59683601306509
292,SIM35,8.714385758861035
293,SIM4,10.169560006527398
294,Bx20,2.391911093576344
295,S84,5.216580738102799
296,QM32,5.32758291640055
297,QM25,5.376225891900334
298,S90,5.601684803372799
299,M98,4.070888081672381
300,QM40,4.053850826496852
301,SIM30,7.713842344222507
302,SIM31,6.648583393922063
303,QM17,6.090191672227038
304,QM31,5.165611491667137
305,QM16,5.952855050159272
306,X64,4.807518542270235
307,X68,5.407527021685484
308,S89,6.0675760022282486
309,SIM32,10.689706296572549
310,S94,4.465187266531383
311,QM21,5.702796252328797
312,S98,4.224499619691839
313,X37,5.393014473659706
314,QM12,4.60702415720198
315,BxM18,5.170736743995719
316,QM1,5.788508434471202
317,S86,4.813402495793951
318,S91,4.371763522779758
319,SIM4X,11.559450513235715
320,SIM8X,9.297832269605651
321,QM11,4.781534810156571
322,S92,5.009810456924048
323,S81,5.397333130968137
324,S96,4.550934649927794
325,QM8,5.999396729580491
326,QM18,4.481563237471344
327,QM44,5.20440700518511
328,QM42,5.0933732551506266
329,QM3,5.3577198552631735
330,QM36,6.0253669251623805
