,Published Line Ref,Averages
68,S53,3.8019684177716497
69,S93,4.664929236732647
70,Bx13,1.7153396200721012
71,Bx3,2.397570796068895
72,S46,3.2774304328250032
73,M100,1.9754813413743433
74,S54,3.952350316185711
75,S76,3.572438496378652
76,Bx10,2.429255569307424
77,S48,3.3947538329437945
78,S66,3.6097948265543676
79,B11,1.9045806900483448
80,B60,2.2044245518553907
81,B67,2.2932569379568015
82,B62,2.363372096604368
83,B68,2.7813151073417233
84,B8,2.1577290080837184
85,Q59,2.451859631982699
86,B47,2.3106218780350343
87,B16,2.3593611077881427
88,Q31,3.0980996294008145
89,Bx7,2.524569675967803
90,Bx21,2.307239397415996
91,Q13,3.0430787846717062
92,B24,2.8414886957478758
93,Q32,2.238689114327724
94,B48,2.2557269106017417
95,B37,2.992115620291547
96,S79-SBS,5.3599659416772605
97,S62,4.216645195058229
98,Bx31,2.494702886247491
99,Bx32,1.9912871135381607
100,S59,4.711463463838812
101,Bx8,2.6328116836679527
102,Bx17,2.2134575721449283
103,Bx11,1.7100041927851628
104,B7,2.504044128343818
105,M1,2.2061699554856498
106,M9,1.7784927885820312
107,M42,1.3538309174319607
108,M60-SBS,3.3657306809009944
109,M22,1.469962155916745
110,M7,1.9806076043836578
111,B35,2.103519736804381
112,M12,2.0882309552625964
113,B44-SBS,3.3454491662858414
114,Bx12-SBS,3.138961596450852
115,M35,2.5006248093885515
116,Bx41-SBS,3.394862212181694
117,M79-SBS,2.0663468897570407
118,M20,1.7833150541623637
119,M86-SBS,1.8013066705073588
120,M14D-SBS,1.6643218167036908
121,Q36,3.4731614973287197
122,B46-SBS,2.9515536614058906
123,Q28,2.517058823653702
124,Q20A,2.667997321468733
125,B61,2.138268065543347
126,Q12,3.1305699642423517
127,B63,2.0937657211787792
128,Q83,2.8870236519403516
129,Q15A,2.568895359013576
130,M21,1.4601572271269767
131,Q76,3.688597119628042
132,B4,2.422050451505387
133,Q48,2.4845411386983125
134,Bx6-SBS,2.2770111862337146
135,M55,2.2717514654458943
136,M57,1.5108686127276656
137,M8,1.6199271096999965
138,S61,3.6619996959369625
139,S51,4.198113993708307
140,S40,4.438034971267893
141,S44,3.389784071314279
142,S55,4.746652055794128
143,B9,2.357247409963967
144,B70,2.0961447249484637
145,Q55,2.7157520296206425
146,B43,2.2391428576577366
147,B57,2.377431539671513
148,M102,2.0249621093606933
149,B46,2.539586457125415
150,B49,2.5123571180946085
151,B41,2.4153235780154425
152,Bx46,1.842947952057357
153,Q44-SBS,3.3539980837879773
154,Bx5,2.784467263492061
155,M15,2.209658256485538
156,Bx33,2.0202322353027884
157,Q16,3.0231158879711364
158,B32,2.93293080460193
159,B69,2.186597604287684
160,Q15,2.535038440793046
161,S74,4.384980345926357
162,S56,4.543734387453846
163,S78,4.934530048227805
164,S52,2.837123380190725
165,B44,2.734844869754519
166,Bx24,2.023197017402305
167,Bx16,2.53977872277585
168,Bx34,2.4439950442099794
169,Bx30,2.2460536881357345
170,Bx18,1.398505382338694
171,B38,2.3068593336090024
172,B1,2.558016212379988
173,S57,3.2622543218273266
174,M72,1.5144431665671834
175,M66,1.4945045944520774
176,Q20B,2.4943616959041552
177,M15-SBS,2.8205495145581807
178,B39,2.923584092958453
179,M23-SBS,1.6869630414308474
180,M14A-SBS,1.7614619462779115
181,SIM1C,6.085271251311081
182,B31,2.4277444514122015
183,Bx42,2.135834463974548
184,Bx22,2.249396146023376
185,M50,1.3639868538417306
186,M31,1.628440525853828
187,SIM6,6.1426302036928995
188,B2,1.8152131638228528
189,B82-SBS,3.000200567462182
190,Q2,2.995050054178939
191,SIM4C,6.788574561015226
192,Bx12,3.097673862719317
193,Bx27,2.0923372288822026
194,M34-SBS,1.6536876764091792
195,M34A-SBS,1.3318464962676377
196,M106,1.7448266589184434
197,X27,4.367501683616896
198,X28,4.626285721830636
199,Bx29,3.9355648228622706
200,Q6,2.6335389739110866
201,Q9,2.0267761749079485
202,Q60,2.799979717956714
203,Q37,2.51885119713511
204,Q53-SBS,4.302173717596276
205,Q8,2.458695776013274
206,Q40,2.6020797605044717
207,Q7,2.836533496228093
208,QM2,5.218906072168891
209,QM5,5.276659308590518
210,BxM11,4.372420501891198
211,BxM2,3.843521594947164
212,BxM4,3.5761615139225786
213,QM4,4.897711695733751
214,QM6,5.863989367872503
215,B103,2.6901286674753955
216,Q69,2.432673900617278
