id,published_line_ref,0_hour,1_hour,2_hour,3_hour,4_hour,5_hour,6_hour,7_hour,8_hour,9_hour,10_hour,11_hour,12_hour,13_hour,14_hour,15_hour,16_hour,17_hour,18_hour,19_hour,20_hour,21_hour,22_hour,23_hour,total
263,BxM3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
264,BxM2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
265,BxM18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266,BxM4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
267,QM15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
268,QM25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269,BM4,0,0,0,0,0,0,699,167,103,53,8,3,61,35,21,269,201,89,204,195,0,0,0,0,2108
270,QM4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
271,QM1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,QM10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
273,BxM7,0,0,0,0,0,238,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250
274,QM16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,QM17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276,BxM8,0,0,0,0,0,0,0,105,104,0,0,42,29,0,0,0,0,0,0,25,0,0,0,0,305
277,QM34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
278,BxM10,0,0,0,0,0,0,170,26,0,44,21,0,45,34,54,20,5,80,0,0,0,0,0,0,499
279,QM18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,BM1,0,0,0,0,0,0,10,318,322,282,22,4,20,8,0,101,261,496,654,240,29,29,6,28,2830
281,QM21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
282,QM31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
283,QM3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284,Q22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285,Q41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
286,Q6,157,0,0,0,0,4,328,99,68,0,0,0,0,0,0,471,651,642,681,616,731,291,234,418,5391
287,Q37,0,0,0,0,0,0,0,0,0,0,25,318,54,98,208,334,271,409,453,527,0,0,0,0,2697
288,Q7,0,0,0,0,0,0,259,311,110,72,0,0,88,317,478,328,20,0,0,0,16,194,39,0,2232
289,Q10,1093,568,459,680,2544,5126,9858,11142,9701,7974,7686,7383,9372,9900,11822,8734,10170,8708,9201,7008,5637,3941,4160,2222,155089
290,Q111,0,70,44,34,43,155,782,1297,1196,737,399,179,218,305,655,1458,1211,554,519,479,5,0,390,317,11047
291,Q113,0,0,0,0,0,0,58,78,0,0,0,0,177,357,99,962,907,685,893,779,13,0,0,0,5008
292,Q21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
293,Q64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
294,Q110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
295,Q60,18,885,1949,3203,3634,890,98,0,123,404,250,735,692,604,573,732,392,117,301,106,269,95,29,62,16161
296,Q35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
297,Q69,176,63,0,0,0,255,837,1685,2488,1487,1221,1397,1845,1848,3026,3041,3780,3138,3001,2025,1131,548,363,419,33774
298,Q33,430,175,106,104,732,2233,2201,2597,1372,1335,1433,1191,1336,894,1685,3486,4722,3998,3817,2105,1502,1306,1370,757,40887
299,Q40,55,40,31,0,0,0,0,0,135,80,0,0,0,0,0,0,23,142,38,0,0,0,34,13,591
300,Q39,284,99,261,165,444,977,2480,2207,2565,1150,970,1067,1354,1639,2181,2388,2531,2749,1961,1243,1156,625,834,456,31786
301,Q102,504,276,81,114,217,264,370,626,676,569,318,199,74,176,318,652,976,923,794,409,602,412,636,527,10713
302,Q29,0,0,0,0,70,999,2056,2167,1166,1243,1302,2351,2916,3034,2524,3701,3452,2574,1922,1317,740,178,205,121,34038
303,Q49,57,0,0,0,204,2177,1897,2205,1639,956,1175,1104,1153,1765,1835,3294,3480,3248,2703,1279,1416,653,498,392,33130
304,Q67,0,0,0,29,435,753,2565,1977,1246,803,578,561,485,443,779,1391,1841,1626,1541,266,198,404,458,204,18583
305,Q100,8,0,0,38,6,194,437,1160,927,368,902,875,835,1081,1494,1635,2068,1533,955,928,467,726,611,280,17528
306,Q104,0,0,0,0,0,0,263,540,213,368,494,782,755,1300,804,713,762,532,231,299,259,99,132,61,8607
307,Q11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308,Q18,76,26,0,0,75,1412,2590,3300,2244,1225,1631,2566,3134,3124,1825,3634,4362,4438,3076,1876,1090,1148,799,284,43935
309,Bx23,0,0,0,0,0,58,214,369,154,56,62,20,89,127,190,303,140,196,158,49,44,68,19,21,2337
310,Q50,41,73,4,0,18,82,516,674,740,296,274,77,225,600,939,626,1132,654,479,734,129,162,94,4,8573
311,Q103,0,0,0,0,0,106,296,554,351,46,3,43,156,212,540,662,683,517,389,322,198,96,0,0,5174
312,Q72,239,16,0,0,331,1109,2490,2479,1820,1464,1025,2027,2917,3241,2767,3937,3807,3869,3537,2465,1303,841,682,408,42774
313,Q9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,448,234,118,30,171,7,0,1032
314,B100,36,23,0,0,0,360,1236,3143,2951,1971,1043,793,1538,2908,2830,3092,3540,3763,3134,1755,1007,284,161,123,35691
315,B103,1800,637,215,0,1,4821,4274,9309,7232,6485,4898,5787,8705,10359,14976,15276,13390,15606,15257,9989,7148,4849,3684,2740,167438
316,Q52-SBS,623,45,0,0,0,1157,4660,5963,6892,5988,4283,3259,4874,7518,12481,16639,14521,13701,12430,8891,5401,3368,3172,1846,137712
317,Q114,0,284,142,159,153,808,16,0,429,339,183,573,482,1234,682,374,702,1288,1056,750,808,199,173,0,10834
318,Q38,169,0,0,0,0,287,1660,2660,1779,1747,1323,1236,2000,2666,3027,4445,5731,5768,4879,3320,1994,1107,890,577,47265
319,Q53-SBS,2894,1783,1649,1608,3889,8328,11808,17483,13262,13869,11435,12995,16322,15039,23348,30723,30926,29868,27244,19373,13259,9917,10667,5170,332859
320,Q70-SBS,440,242,260,580,591,1225,2356,1241,1212,1497,2486,3037,3916,4352,4497,4413,2803,2200,2042,2597,2983,1690,1496,704,48860
321,Q101,26,0,0,0,0,128,345,389,165,121,144,564,734,653,1612,3051,2729,2037,1716,680,624,505,259,332,16814
322,SIM1C,4929,991,296,858,3300,3388,806,1611,2372,6707,5477,5571,8049,13986,18214,11105,3524,1396,1345,4081,7401,6253,7058,6168,124886
323,SIM35,0,0,0,0,0,313,1096,1252,946,450,0,0,0,0,0,346,1030,1138,685,112,0,0,0,0,7368
324,SIM32,0,0,0,0,0,0,553,1054,917,236,0,0,0,0,0,21,1361,1123,786,170,0,0,0,0,6221
325,B39,0,0,0,0,0,0,0,50,98,175,205,295,186,161,280,90,109,65,58,87,163,30,0,0,2052
326,B32,0,0,0,0,0,0,0,236,293,306,335,491,511,558,898,753,825,572,701,315,260,145,0,0,7199
327,S55,0,0,0,0,0,0,120,257,187,248,370,196,354,369,711,615,538,312,184,131,0,0,0,0,4592
328,S86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,687,593,341,0,0,0,0,0,1621
329,S90,0,0,0,0,365,1031,8897,1268,615,0,0,0,0,0,0,962,3272,4324,2813,744,394,250,328,827,26090
330,QM35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
331,QM40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
332,Bx99,0,3989,8772,9255,9149,3218,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34536
333,M99,0,2161,5328,5179,6107,1575,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20396
334,B99,0,3135,6475,7138,7691,1931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26370
