id,published_line_ref,0_hour,1_hour,2_hour,3_hour,4_hour,5_hour,6_hour,7_hour,8_hour,9_hour,10_hour,11_hour,12_hour,13_hour,14_hour,15_hour,16_hour,17_hour,18_hour,19_hour,20_hour,21_hour,22_hour,23_hour,total
218,Q83,2114,1003,505,451,1149,4828,7099,7103,5863,5372,3711,4145,5850,6207,7744,9314,10606,8874,7928,6624,5768,4365,3481,1919,122023
219,S91,0,0,0,0,0,0,627,1656,1144,10,0,0,0,0,0,0,685,2147,2073,1487,32,0,0,0,9861
220,S94,0,0,0,0,0,0,571,994,287,0,0,0,0,0,0,68,1729,2581,1944,409,7,266,198,0,9054
221,S44,763,4,0,0,318,2343,5187,6132,6907,6841,7141,8016,7870,11925,13741,17916,15797,11351,10126,8667,7822,4881,3657,2687,160092
222,S78,2416,1773,1476,827,1852,4021,7918,11386,8766,8373,9150,8864,10028,13277,15198,17231,15576,12547,10880,6876,4579,4548,5118,3255,185935
223,S74,1467,1491,912,589,1518,5375,9849,11487,9076,8385,6388,7024,7537,9667,11204,14562,13013,9943,10227,8442,5174,4205,4684,3177,165396
224,S56,0,0,0,0,0,0,127,386,373,409,282,244,459,431,947,932,737,431,269,82,0,0,0,0,6109
225,S84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356,1134,1060,609,25,38,738,67,0,4027
226,S46,1758,1519,1602,789,2082,3267,5432,5974,5023,5263,5909,6341,6447,7140,9654,8927,10641,9718,9642,5238,3688,2551,2383,1969,122957
227,S42,69,267,0,0,0,216,163,184,65,25,2,0,0,26,100,56,472,229,523,431,145,172,173,123,3441
228,S54,0,0,0,0,0,1,549,475,517,221,262,374,518,566,1215,1378,1333,837,469,313,369,259,164,0,9820
229,S92,0,0,0,0,0,5,990,888,1170,22,0,0,0,0,0,0,550,1563,1083,175,0,0,0,0,6446
230,S59,1021,323,0,0,137,1914,5487,7211,6200,5259,4312,4287,4459,5860,7871,12115,11358,10761,8194,5509,3550,2491,2603,1438,112360
231,S89,0,0,0,0,0,132,583,1205,662,462,27,0,0,0,0,51,750,1399,1198,208,43,0,0,0,6720
232,S61,214,0,0,0,34,1149,2632,3328,3597,5118,4991,5154,5974,7544,9610,11506,9110,5341,5177,3074,3719,2393,1636,526,91827
233,S62,700,1234,668,621,1260,2560,3817,5303,3703,3271,3574,2778,3433,4223,5326,5836,6618,4005,3569,3104,2106,1775,1948,1267,72699
234,Bx24,53,9,4,8,11,48,203,402,627,407,636,754,613,778,1060,1345,1236,1147,397,498,349,510,362,202,11659
235,Q84,1017,469,0,0,495,1588,3685,5937,5461,4900,4040,3756,4269,5763,7583,7973,8086,8247,7381,5056,4000,2553,1541,957,94757
236,Bx18,0,0,0,0,0,2,467,1770,2236,1660,1452,1133,1524,2769,3437,4301,3120,2509,2565,2002,904,623,320,0,32794
237,S79-SBS,1662,26,0,0,1208,7932,25514,37691,29544,27468,24947,24876,26683,31660,39745,50789,53668,49806,40687,28861,22138,13919,10721,6080,555625
238,S57,3,0,0,0,0,0,951,2653,2111,2470,1167,1438,1476,1949,3120,3861,3519,3704,2675,1832,1734,1020,657,206,36546
239,Q34,0,0,0,0,0,497,947,2086,1696,1897,2295,2324,3036,3319,3050,5168,1491,1265,1551,1746,1431,1101,306,8,35214
240,Q66,1570,1354,1280,1308,1921,3153,5551,8932,7076,5988,6808,8439,10103,12277,16715,17670,17359,14767,12376,11509,8296,5194,3461,2037,185144
241,Q23,2352,1272,48,0,136,2307,4755,7132,6207,5771,5520,5246,6545,7064,8013,10562,12064,11801,10304,7277,5360,3560,3797,3129,130222
242,Q25,1428,522,247,324,1602,5006,10197,11666,10734,11582,9218,6754,8859,7737,12510,19016,20657,20228,12888,9342,9142,5343,4127,2731,201860
243,Q65,1576,592,372,386,977,3025,8387,11964,11284,10221,7978,8479,11776,13734,15715,15835,16942,13835,12533,9065,7630,5423,5002,3584,196315
244,Q19,0,0,0,0,0,97,1458,2746,1669,1591,2154,2164,2092,2515,2641,4238,5530,4031,4064,1948,956,222,0,0,40116
245,BM3,29,0,0,0,0,133,452,125,365,73,139,0,0,4,13,0,3,169,105,75,7,0,0,3,1695
246,BM2,62,57,0,0,0,0,0,0,0,0,0,0,50,141,22,140,237,257,404,130,46,55,43,0,1644
247,BM5,16,0,0,0,0,196,1213,163,124,397,22,78,82,31,25,85,8,87,254,214,2,0,28,27,3052
248,BxM9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,31,3,4,0,0,0,0,219
249,QM11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,QM20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251,QM12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
252,QM44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
253,QM6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254,QM2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255,QM5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256,QM42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257,QM8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258,QM32,0,0,0,0,0,0,0,0,28,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
259,QM36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,QM7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
261,BxM1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262,BxM11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
263,BxM3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
264,BxM2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
265,BxM18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266,BxM4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
267,QM15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
268,QM25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269,BM4,0,0,0,0,0,0,703,245,104,53,8,27,63,35,22,270,201,89,204,195,0,0,0,0,2219
270,QM4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
271,QM1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,QM10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
273,BxM7,0,0,0,0,0,238,12,0,0,0,0,0,0,0,32,40,27,0,0,0,0,0,0,0,349
274,QM16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,QM17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276,BxM8,0,0,0,0,0,0,0,105,104,0,0,42,29,0,0,0,0,0,0,25,0,0,0,0,305
277,QM34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
278,BxM10,0,0,0,0,0,0,170,26,0,44,21,0,45,34,54,20,5,80,0,0,0,0,0,0,499
279,QM18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,BM1,7,0,0,0,0,0,164,338,326,294,26,4,20,8,0,101,395,556,654,240,29,29,6,28,3225
281,QM21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
282,QM31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
283,QM3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284,Q22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285,Q41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
286,Q6,400,0,0,0,0,4,328,99,68,0,0,0,114,249,236,619,813,679,681,616,731,291,318,674,6920
287,Q37,0,0,0,0,0,0,0,0,0,0,25,318,54,98,208,334,271,409,453,527,0,0,0,0,2697
288,Q7,0,0,0,0,0,0,384,459,110,72,0,0,88,317,478,328,20,0,0,0,16,200,287,127,2886
289,Q10,1950,1349,1484,1455,4333,7827,14193,15355,13449,11894,10646,10868,13383,14406,15653,11096,12266,11348,11113,9078,6876,5243,4852,2700,212817
290,Q111,285,70,44,34,43,155,925,1537,1508,737,490,414,567,685,1046,1864,1721,810,606,649,206,18,390,317,15121
