id,published_line_ref,0_hour,1_hour,2_hour,3_hour,4_hour,5_hour,6_hour,7_hour,8_hour,9_hour,10_hour,11_hour,12_hour,13_hour,14_hour,15_hour,16_hour,17_hour,18_hour,19_hour,20_hour,21_hour,22_hour,23_hour,total_avg
97,B12,5.30348,4.81102,5.20423,4.03604,7.9172,8.76093,12.3681,13.5404,14.6806,12.3249,12.7582,13.1818,14.0415,13.0499,15.7787,16.9587,16.9413,15.465,12.8848,11.0085,10.281,7.49907,7.57366,7.09722,12.7244
98,B26,3.68878,3.41475,2.98171,3.43243,6.825,7.38947,7.82059,8.46111,6.99154,6.99061,9.64633,9.6856,11.6256,10.6964,10.1232,11.2515,13.1103,12.6568,10.0428,7.84681,5.57066,5.85665,4.85067,5.3792,9.10865
99,Q24,7.81884,4.98571,6.85025,7.68798,8.74439,8.35812,7.43077,8.14387,7.99738,5.84387,6.30658,8.01042,9.3457,8.7888,9.96541,9.68946,9.89135,9.13274,9.2865,7.69806,7.39496,6.07022,4.95769,5.81281,8.15794
100,B14,3.78808,2.12821,1.78205,1.69091,2.18182,5.67598,5.30542,9.05155,10.4096,10.0717,10.1035,10.2491,11.5388,14.1753,12.5849,13.0588,10.8497,10.8148,8.24415,7.59326,6.63173,6.58456,5.64286,3.93785,9.41635
101,B45,2.72034,2.29545,0.0,0.0,0.0,4.56863,4.90821,5.30903,7.39792,6.56857,8.22684,7.96605,10.3788,10.9719,10.914,10.6643,9.06065,10.5978,8.51684,6.70552,5.05926,4.66832,3.52,3.16327,8.06904
102,M10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,B13,3.99582,3.26744,2.0,0.0,2.90323,3.93696,7.68852,7.75945,8.32397,8.24386,8.31963,9.94262,10.4352,12.1439,11.3475,11.9137,10.6969,9.60737,8.12755,7.3624,5.78285,4.32,4.87442,4.50689,8.54382
104,Q55,3.63636,1.93333,2.28986,2.55128,4.65289,9.4635,8.26411,10.5869,10.739,9.72598,8.75877,10.0978,9.54812,12.0912,12.7201,11.2645,12.0823,14.1127,12.2765,9.14522,6.97118,8.0927,4.71704,5.045,9.84515
105,Q58,6.64671,4.71287,5.99419,6.40526,7.40722,10.0059,11.2976,11.6555,11.621,10.4457,11.0393,10.8499,11.8988,15.3439,15.3448,15.877,15.0109,16.0452,13.6224,10.5065,8.28047,8.36677,9.68637,9.21524,12.1909
106,Q36,2.48148,2.30882,1.5283,1.52459,3.48485,7.29915,6.65172,6.00932,7.78596,6.29461,5.04245,5.85135,7.01974,7.51786,8.0719,7.35616,8.17096,7.32192,7.14906,6.44262,3.61739,3.91803,3.62857,4.05263,6.38127
107,Q46,7.61111,2.728,2.68116,2.42623,3.43243,8.03205,9.98853,8.10907,9.46667,8.24578,7.63951,7.26687,7.73582,9.52581,9.67212,9.33142,10.166,9.2906,7.89976,5.4641,5.06344,4.94795,5.14451,5.80415,7.87579
108,B7,3.75,5.75556,13.0,0.0,4.1746,3.29961,6.96403,9.0048,10.1557,8.10586,7.80732,7.84838,8.56326,9.57792,11.4086,11.3641,10.5821,10.2215,8.30994,6.55021,5.49757,4.60615,3.62948,2.94512,8.28368
109,M106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,Bx26,0.0,0.0,0.0,0.0,0.0,6.63415,7.47312,7.18497,8.64993,7.9507,7.5166,8.47961,9.2577,8.27778,8.74096,9.70247,10.5739,10.9971,8.96171,7.37315,5.53223,4.92896,5.45516,3.47101,8.40288
111,B52,5.65217,3.2973,3.1,3.23664,4.16,6.66289,10.025,9.56907,10.3908,9.79724,10.4557,10.8872,13.2938,13.7022,15.1233,18.4762,18.8503,16.1897,13.175,11.6959,9.47643,7.73239,8.33043,7.20118,12.1614
112,Bx16,3.97159,2.13208,0.0,0.0,0.0,7.4494,6.74182,6.90357,7.81195,7.88393,8.19344,8.00327,10.0215,10.9881,10.9893,9.43074,9.41078,10.6171,8.0341,6.99349,6.82584,6.56876,5.98498,5.22145,8.33381
113,Bx30,3.14388,1.0,0.0,0.0,0.0,6.30714,6.31184,7.45494,7.99844,7.39055,9.0311,10.5469,10.2227,11.3078,11.7531,10.4326,10.1711,10.0776,7.61153,6.62394,6.69261,5.35691,5.52878,5.14763,8.76154
114,M22,0.0,0.0,0.0,0.0,0.0,2.625,2.11765,3.15714,3.69767,3.73214,2.37778,4.16667,3.34783,3.58462,4.09091,6.89474,3.80392,5.22642,3.65217,1.75,1.31579,0.0,0.0,1.36364,3.77365
115,B82,6.22414,7.25084,5.77005,5.40506,6.30719,7.86241,8.52158,11.7914,15.0456,11.1339,10.3747,11.0164,13.6165,13.5781,13.1618,12.511,13.3833,13.6716,12.0355,9.60718,8.0,6.5227,5.96557,6.67478,10.934
116,M50,1.72727,1.66667,0.0,0.0,1.0,2.14286,3.92857,5.53333,4.57692,3.68085,4.80435,3.65909,4.08696,6.77778,4.65789,7.96053,4.40964,4.08824,3.25828,3.1087,2.66667,2.76364,2.16071,2.48611,3.93322
117,Q2,4.8062,2.67164,1.6,1.84,1.53846,10.2366,8.19915,7.62577,7.476,8.26641,6.97482,7.47321,8.87833,10.4108,8.67253,9.03493,8.61413,9.22462,8.35878,6.87931,5.3311,5.56338,4.39759,3.07051,7.5741
118,Q32,4.70833,10.2121,7.32399,8.85714,12.4365,7.54924,7.80216,8.84855,7.55908,7.08642,7.87759,8.17335,8.50133,9.78176,11.1804,11.6571,10.334,10.4481,9.61446,7.37881,4.62454,4.76963,5.27434,5.08772,8.89684
119,Q20A,3.56209,2.41216,2.19718,2.6506,2.56522,3.86992,7.68627,8.56455,8.79241,8.65054,8.73134,9.4454,8.85969,9.67839,9.52079,11.7279,10.3708,9.81738,7.87373,6.68142,5.26915,6.27824,4.44506,3.81,7.81105
120,B17,8.05479,2.70667,3.23404,3.08333,6.42857,9.76606,8.629,9.48117,12.2751,9.70588,8.35358,7.47059,9.20425,10.3487,12.9181,14.0697,13.4346,14.519,10.3336,8.40331,7.40438,4.92123,5.2547,3.58696,9.88832
121,Q26,0.0,0.0,0.0,0.0,0.0,6.09375,5.17582,4.14516,4.41463,7.03704,0.0,0.0,0.0,0.0,0.0,4.88889,3.84444,3.77895,4.28205,2.53947,1.96154,0.0,0.0,0.0,4.1857
122,Q48,3.54737,2.75,1.875,0.0,4.5,8.58929,8.63043,6.11828,9.30509,7.35593,4.94737,8.81159,5.31395,7.50575,7.55435,6.98,6.17544,8.36036,5.11828,5.2515,4.72794,2.93082,4.05236,3.52632,5.69147
123,Q13,3.44444,2.31818,1.48148,0.0,2.625,5.45038,6.44186,7.85745,9.10968,8.66667,10.5714,9.13333,8.11294,10.3615,10.0362,12.6073,12.4535,10.8548,9.94828,7.07431,6.69084,7.69951,8.30657,3.93966,9.26841
124,Q16,1.5,2.35294,0.0,0.0,5.66667,9.42105,6.05814,7.07614,8.08451,7.23134,7.07843,5.48421,6.75,6.18421,8.67241,8.36,7.61376,6.77108,6.01554,5.25243,3.36957,4.26437,3.91139,2.55932,6.32327
125,Q20B,0.0,0.0,0.0,0.0,0.0,4.50485,6.57925,7.01351,8.5347,7.2849,7.71517,7.38642,7.46699,7.98416,9.24394,8.83867,8.88595,8.23627,7.17552,5.55649,4.1375,3.60687,4.48958,3.21875,7.35464
126,Q15A,1.11111,0.0,0.0,0.0,0.0,8.06667,9.34286,10.1645,8.68224,8.54472,9.16667,12.5556,10.6875,10.2812,9.55769,10.3091,11.8505,13.4,6.78788,7.66154,5.19512,5.1875,3.72414,2.2963,8.87637
127,Q28,2.51163,2.02326,1.42857,2.41667,4.52632,7.84946,8.12424,7.00702,8.91282,8.14521,10.8689,8.4529,9.60625,8.76087,8.7961,10.1736,11.675,11.2017,9.02347,5.86429,6.08844,4.61667,5.55133,4.30374,8.28338
128,Q76,0.0,0.0,0.0,0.0,0.0,3.18447,6.19437,7.29423,7.36873,9.06923,6.47955,6.33423,5.60393,7.85758,7.83511,7.0592,8.71201,8.8055,7.09935,5.69762,4.85959,4.05725,4.06061,2.34694,6.93663
129,Q31,3.25,0.0,0.0,0.0,0.0,8.3,5.13953,5.29777,5.97143,5.91129,6.35659,5.625,5.23198,5.49441,6.38702,6.09102,6.4898,7.85938,7.26425,5.72454,5.00291,3.79352,3.72038,3.56566,6.02204
130,Q15,1.66667,0.0,0.0,0.0,0.0,14.2419,7.63095,9.18421,9.38095,7.01754,6.47727,10.4444,10.1224,10.5938,9.57778,8.98876,11.6267,8.63043,9.35156,7.15854,6.71304,5.98718,3.0625,2.28571,8.50468
131,B15,8.69987,8.8651,9.70506,8.46081,7.03297,8.42442,10.3786,12.7679,13.2845,12.6156,11.4961,11.6797,11.702,13.6019,14.4369,16.6116,16.3187,15.5457,12.4835,10.9948,9.89441,9.06886,8.81806,9.51685,12.2895
132,B65,2.4,2.25,0.0,0.0,11.1111,3.71053,5.05128,7.13665,6.44681,6.06704,4.66321,6.95977,7.78173,8.13333,8.4507,8.58031,9.46032,9.74677,8.48819,5.37183,3.71477,3.38442,2.91824,2.92083,6.43651
133,SIM2,0.0,0.0,0.0,0.0,5.17391,7.5,11.1188,6.09722,5.27072,4.91228,0.0,0.0,0.0,0.0,14.8482,9.28814,8.41156,7.23453,4.93367,2.85475,2.21875,1.4,0.0,0.0,7.30018
134,B41,7.31236,6.17553,4.27317,4.68636,8.80424,7.93962,8.18662,7.20673,7.35787,6.99078,8.37959,10.0438,10.8812,12.2964,12.4637,12.4821,12.2532,12.5706,9.95189,7.71444,6.53771,5.92058,6.66874,6.07744,9.77525
135,Bx34,2.91509,2.07692,0.0,0.0,0.0,4.49842,4.79568,5.62145,6.44311,7.04941,7.97375,8.0275,9.66033,9.53196,10.0473,10.6112,10.5694,8.55476,5.54545,4.65947,3.56725,2.84404,3.22801,2.48432,6.8649
