id,published_line_ref,0_hour,1_hour,2_hour,3_hour,4_hour,5_hour,6_hour,7_hour,8_hour,9_hour,10_hour,11_hour,12_hour,13_hour,14_hour,15_hour,16_hour,17_hour,18_hour,19_hour,20_hour,21_hour,22_hour,23_hour,total_avg
226,S46,4.51124,5.26667,4.88024,2.18367,3.0493,4.93902,6.64286,9.7617,8.29665,9.58011,8.35391,9.425,8.05906,10.73,9.92,9.50311,9.79009,9.45161,12.4164,8.04029,8.32663,6.51948,8.87121,7.57983,8.27085
227,S42,2.125,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.91304
228,S54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
229,S92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230,S59,3.38953,2.06061,0.0,0.0,0.0,3.77305,7.21269,7.11726,8.70161,7.09497,7.28144,6.76684,7.23944,7.37931,7.80392,10.5033,8.76786,11.1374,8.77303,7.15357,5.9529,4.52549,5.31527,4.03646,7.26505
231,S89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
232,S61,3.75,0.0,0.0,0.0,0.0,0.0,7.5,6.12621,7.33333,7.44681,6.73182,7.07759,6.83451,7.72563,7.98606,8.8,8.39519,8.2214,8.25088,7.58373,8.02235,6.23529,5.18518,5.46154,7.55923
233,S62,3.74312,4.30159,3.67368,2.41176,3.24468,5.84211,8.46597,8.88936,7.8114,4.89952,6.07186,4.9931,4.79535,5.8,6.22053,5.94077,6.66812,7.32353,5.92,7.1369,5.09821,5.70408,6.06796,4.14103,6.01848
234,Bx24,1.71429,0.0,0.0,0.0,0.0,1.22222,1.52083,1.89231,2.62393,2.05825,2.0125,2.29,2.10959,2.34286,2.28571,2.24286,2.66379,2.35811,1.83544,1.82653,2.47222,2.31707,2.38272,2.33333,2.22778
235,Q84,3.60484,3.63492,0.0,0.0,0.0,4.75,6.52128,6.14407,6.0873,5.76214,6.33871,7.97778,6.57071,7.375,8.78947,7.54673,7.2266,8.64179,6.85093,5.93976,5.32948,5.2782,3.32979,3.43548,6.46647
236,Bx18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.61538,4.49438,4.0,4.1383,5.70103,5.95745,6.90698,9.31746,7.70909,8.96364,10.44,5.78689,5.16667,3.2381,3.60526,2.0,0.0,5.87103
237,S79-SBS,5.46296,2.85714,0.0,0.0,2.42857,6.1784,11.0604,13.5336,11.7857,11.7817,13.1222,12.6544,12.8472,14.4265,15.0781,14.4284,16.1084,14.92,15.3919,12.2612,10.5959,9.10187,7.63537,6.93678,12.78
238,S57,0.0,0.0,0.0,0.0,0.0,0.0,2.55556,6.625,4.75962,5.07767,4.01493,4.44361,3.47619,4.84466,5.51304,5.54667,5.63784,5.9267,4.59091,3.40876,3.86395,3.68067,2.78333,4.66667,4.73307
